time,I0.NM0:region,I0.NM0:id,I0.NM0:vgs,I0.NM0:vds,I0.NM0:vth,I0.NM0:vdsat,I0.NM0:gm,I0.NM0:gds,I0.NM0:gmoverid,I0.NM0:self_gain,I0.NM0:rout,I0.NM0:sat_margin_abs
0.0,2.0,9.821407493476304e-05,0.714,0.5500011741707667,0.5060541914085409,0.1749331259882883,0.0005283925852465249,5.272386819453852e-05,5.380008757338101,10.02188578608994,18966.74189970733,0.37506804818247835
2e-11,2.0,9.845126183969565e-05,0.7144588067170177,0.5499565339174005,0.5060553892308612,0.175143919995541,0.0005288427494670075,5.283951420342538e-05,5.371619800206721,10.0084710739586,18925.23076858973,0.3748126139218595
4e-11,2.0,9.868653390312067e-05,0.7149166471205636,0.5498682197036674,0.5060571140750678,0.1753546486769938,0.0005292812311730602,5.295820312005374e-05,5.363256851921981,9.994320048457928,18882.81590168472,0.3745135710266736
6e-11,2.0,9.891986858366236e-05,0.715372556932362,0.5497586445120844,0.5060591118903752,0.175564392794961,0.0005297112420830441,5.307794745052259e-05,5.354952929386652,9.97987427032333,18840.21609788444,0.37419425171712345
8e-11,2.0,9.914967858437751e-05,0.7158255759402435,0.549607635444542,0.5060616436481327,0.1757725994714402,0.0005301268214262585,5.319985274170677e-05,5.346732606156647,9.964817459178006,18797.04451166715,0.37383503597310186
9.999999999999999e-11,2.0,9.937556644825152e-05,0.716274750020491,0.5494173640929928,0.5060646795365831,0.1759788464604879,0.0005305275652649603,5.33235695221985e-05,5.338611714763937,9.949213265704252,18753.43321837638,0.3734385176325049
1.2e-10,2.0,9.959712216077725e-05,0.7167191331473622,0.5491900051282667,0.5060681906416018,0.1761827010061935,0.0005309130575294596,5.344874060835928e-05,5.330606386343849,9.933125673057035,18709.51473538746,0.37300730412207317
1.4e-10,2.0,9.98139570857935e-05,0.7171577893855577,0.5489277354469343,0.5060721471275138,0.1763837490146641,0.0005312829353244928,5.357501587989049e-05,5.322731897849909,9.91661741203349,18665.41677265937,0.37254398643227016
1.6e-10,2.0,0.0001000256727107309,0.7175897948614356,0.5486327328607432,0.5060765200632861,0.1765815680198152,0.0005316368279267464,5.370203823091039e-05,5.315003752632373,9.899751395669396,18621.26714260185,0.37205116484092804
1.8e-10,2.0,0.000100231893863106,0.718014239708824,0.5483071748617949,0.5060812796540621,0.1767757557169268,0.0005319744199953991,5.382945814357741e-05,5.30743655901921,9.88258916848991,18577.1886711684,0.3715314191448681
2e-10,2.0,0.0001004322380644729,0.718430229985331,0.5479532369613912,0.5060863970269633,0.1769659035098388,0.0005322953918999022,5.395691999706721e-05,5.30004508526446,9.865192303949794,18533.3039775872,0.37098733345155244
2.2e-10,2.0,0.0001006263480260016,0.7188368895551166,0.5475730911221783,0.5060918425117045,0.1771516244114814,0.000532599480897375,5.408407644295028e-05,5.292843168645105,9.8476208881773,18489.73054120345,0.3704214667106969
2.400000000000001e-10,2.0,0.0001008138615904478,0.7192333619341623,0.5471689037930834,0.5060975873863858,0.1773325271520566,0.0005328864227543125,5.421057505949178e-05,5.2858447456205,9.829934882068898,18446.58535539569,0.36983637664102675
2.6e-10,2.0,0.0001009944435056351,0.7196188120941504,0.5467428340567537,0.5061036022055274,0.177508243452116,0.0005331560109606318,5.433607253101691e-05,5.27906279053193,9.81219263972912,18403.98014466661,0.3692345906046377
2.8e-10,2.0,0.0001011677559345419,0.7199924282211543,0.546297031409191,0.5061098585062056,0.1776784026718806,0.0005334080396134125,5.446022163468426e-05,5.272510321765979,9.794452236927716,18362.02589677172,0.3686186287373103
3e-10,2.0,0.0001013334895061262,0.7203534234254375,0.5458336336714992,0.5061163271818597,0.1778426584625487,0.000533642360743668,5.458268522419757e-05,5.266199369098979,9.776770024262088,18320.82822405154,0.36799097520895047
3.2e-10,2.0,0.0001014913343747093,0.7207010373987564,0.5453547645633079,0.5061229801490766,0.1780006639375917,0.0005338588284344265,5.470312353563991e-05,5.260141956613901,9.759201923572233,18280.49177755791,0.36735410062571616
