time,I0.NM0:region,I0.NM0:id,I0.NM0:vgs,I0.NM0:vds,I0.NM0:vth,I0.NM0:vdsat,I0.NM0:gm,I0.NM0:gds,I0.NM0:gmoverid,I0.NM0:self_gain,I0.NM0:rout,I0.NM0:sat_margin_abs
0.0,2.0,9.821407493476304e-05,0.714,0.5500011741707667,0.5060541914085409,0.1749331259882883,0.0005283925852465249,5.272386819453852e-05,5.380008757338101,10.02188578608994,18966.74189970733,0.37506804818247835
5e-09,2.0,9.834423320857297e-05,0.7143141075907813,0.5493460593059167,0.5060630797895733,0.1750747030727298,0.0005285479435710123,5.284411643926277e-05,5.374468072996078,10.00202064459735,18923.5825552948,0.37427135623318697
1e-08,2.0,9.847149229697188e-05,0.7146279051952931,0.5486393094482773,0.5060726379737662,0.1752158838734224,0.0005286892797443976,5.296801290213413e-05,5.368957709057041,9.981293440651164,18879.31876635888,0.3734234255748549
1.5e-08,2.0,9.859825015376652e-05,0.7149410831331852,0.547930034615971,0.5060822293311934,0.1753567705210103,0.00052882836226381,5.309228035892716e-05,5.363465977935414,9.960550925458422,18835.12995184159,0.3725732640949607
2e-08,2.0,9.872454007692325e-05,0.715253332335643,0.547221969604487,0.5060918050191975,0.1754972392367859,0.0005289658075647803,5.321659741962294e-05,5.357997161058279,9.939865252823003,18791.12999493017,0.3717247303677011
2.5e-08,2.0,9.88503295617585e-05,0.7155643446504023,0.5465175650236458,0.5061013328606763,0.1756371600949143,0.0005291019231942681,5.334072346666017e-05,5.352555964240727,9.919286593946845,18747.40226620727,0.3708804049287315
3e-08,2.0,9.897542960434538e-05,0.7158738131458572,0.5458162841122648,0.5061108194092171,0.1757763886816206,0.0005292362817517257,5.346461493596145e-05,5.347148092317406,9.898814054597258,18703.95964130247,0.3700398954306442
3.5e-08,2.0,9.909976273387147e-05,0.7161814324139654,0.5451196841747925,0.5061202440612178,0.1759147918155836,0.000529368980946495,5.358808765183125e-05,5.341778468093661,9.878482404258833,18660.86370719421,0.36920489235920895
3.999999999999999e-08,2.0,9.922317426277807e-05,0.7164868988716485,0.5444278415939698,0.5061296054173149,0.1760522296839367,0.000529499755873277,5.371105563409733e-05,5.336452472935377,9.858301044769174,18618.14086865891,0.36837561191003315
4.499999999999999e-08,2.0,9.934556559964934e-05,0.7167899110603922,0.5437418656691282,0.5061388886786317,0.1761885686503225,0.0005296286047596522,5.383336255452703e-05,5.331175068884987,9.838296915285554,18575.84131006334,0.3675532970188057
4.999999999999999e-08,2.0,9.946680042241639e-05,0.7170901699437494,0.5430621286490475,0.5061480886069541,0.1763236724637115,0.0005297553479136143,5.395490111239982e-05,5.325951406995181,9.818484270965827,18533.99745681643,0.36673845618533596
5.499999999999999e-08,2.0,9.958677107630081e-05,0.7173873792024529,0.5423895102424835,0.5061571933791712,0.1764574086839578,0.0005298799387338977,5.407552888938071e-05,5.320786392900779,9.798885921538439,18492.6531563962,0.36593210155852574
6e-08,2.0,9.970535191694371e-05,0.7176812455268468,0.5417245204901452,0.5061661959695538,0.1765896443756012,0.0005300022443865941,5.419512810027426e-05,5.315684984760125,9.779518251270854,18451.84309094639,0.365134876114544
6.5e-08,2.0,9.982243244088756e-05,0.7179714789063478,0.5410679161932205,0.5061750861498174,0.1767202493746417,0.0005301222004981415,5.431356360485488e-05,5.310651976826046,9.760401736017851,18411.60722347841,0.3643476668185788
7e-08,2.0,9.993789408441003e-05,0.7182577929156507,0.5404202657650671,0.5061838561387297,0.176849094200125,0.0005302397019743332,5.443071287251008e-05,5.305692144960031,9.74155350888538,18371.98058276845,0.36357117156494206
