time,I0.NM0:region,I0.NM0:id,I0.NM0:vgs,I0.NM0:vds,I0.NM0:vth,I0.NM0:vdsat,I0.NM0:gm,I0.NM0:gds,I0.NM0:gmoverid,I0.NM0:self_gain,I0.NM0:rout,I0.NM0:sat_margin_abs
0.0,2.0,9.821407493476304e-05,0.714,0.5500011741707667,0.5060541914085409,0.1749331259882883,0.0005283925852465249,5.272386819453852e-05,5.380008757338101,10.02188578608994,18966.74189970733,0.37506804818247835
5e-09,2.0,9.886455132623009e-05,0.7155705379539063,0.5467255996870994,0.5060986444715315,0.1756410531108195,0.0005291597351603678,5.332837452645681e-05,5.35237075307855,9.922667620364946,18751.74349264834,0.37108454657627993
1e-08,2.0,9.94999467708855e-05,0.7171395259764657,0.5431979595780324,0.5061463893722564,0.17634711755671,0.0005298381096895529,5.395799322126455e-05,5.325008953601382,9.819455432985722,18532.93535026995,0.3668508420213224
1.5e-08,2.0,0.0001001319914085981,0.7187054156659257,0.5396606927521087,0.5061942855783016,0.1770517986315596,0.0005304856545144259,5.459680026063297e-05,5.297863796343434,9.716423892645823,18316.09169816221,0.3626088941205491
2e-08,2.0,0.0001007608969025526,0.7202666616782152,0.53613422168058,0.5062420649660054,0.1777544792896711,0.000531105987788748,5.524322385454208e-05,5.270953332296446,9.613957164903594,18101.76760561703,0.35837974239090886
2.5e-08,2.0,0.0001013864562032398,0.7218217232520115,0.5326305550022521,0.5062895690659602,0.1784544994375377,0.0005317008114229765,5.589616596228666e-05,5.244298190535296,9.512294846514463,17890.31470735763,0.35417605556471443
3e-08,2.0,0.0001020076979296816,0.7233690657292862,0.5291474952652245,0.5063368237965452,0.1791511305129363,0.0005322683186781054,5.655550329505618e-05,5.217923026950357,9.411432799054126,17681.7452190796,0.34999636475228824
3.5e-08,2.0,0.0001026242084912886,0.7249071620698271,0.5256927617656774,0.5063837261151516,0.1798436973306915,0.0005328093555485594,5.722035500483107e-05,5.191848595446978,9.311535300743499,17476.29842414593,0.34584906443498586
3.999999999999999e-08,2.0,0.0001032351920912782,0.7264344943582427,0.5222670011521456,0.5064302648406901,0.1805314936328811,0.0005333230414368077,5.789033001880886e-05,5.166097216391986,9.21264468976992,17274.04213579531,0.3417355075192645
4.499999999999999e-08,2.0,0.0001038401427641445,0.7279495553019615,0.5188757540647544,0.5064763650398342,0.1812138428544363,0.0005338098832886704,5.856462503400055e-05,5.140689005581062,9.114886042192863,17075.15414671289,0.3376619112103181
