metric,value
variant,03_amp_50m
condition,1 MHz / 50 mV
frequency_hz,1000000.0
nominal_input_amplitude_mv,50.0
fit_cycles,3
vin_amplitude_mv,50.00000000000005
vout_amplitude_mv,112.29247614473856
vin_pp_mv,100.00000000000009
vout_pp_mv,223.85710190351966
gain_v_per_v,2.245849522894769
gain_db,7.027613083337343
phase_deg,179.8432715285651
vin_center_v,0.714
vout_center_v,0.551218068973254
vin_min_v,0.6639999999999999
vin_max_v,0.764
vout_min_v,0.4405136770045314
vout_max_v,0.6643707789080511
vin_thd_percent,3.206755378959615e-14
vout_thd_percent,1.1340419457167277
region_0_percent,0.0
region_1_percent,0.0
region_2_percent,99.99999999999999
region_3_percent,0.0
saturation_region_percent,99.99999999999999
high_rail_dwell_percent,0.0
low_rail_dwell_percent,0.0
minimum_sat_margin_v,0.2430555775549786
compression_db,-0.08036963241229067
