x,VIN - 0.714 V,VOUT - 0.55 V
0.0,0.0,0.0011741707666157453
5e-09,1.5705379539063813,-3.274400312900605
1e-08,3.139525976465718,-6.802040421967637
1.5e-08,4.70541566592575,-10.339307247891337
2e-08,6.266661678215213,-13.865778319420041
2.5e-08,7.821723252011581,-17.36944499774795
3e-08,9.369065729286197,-20.85250473477551
3.5e-08,10.907162069827114,-24.307238234322682
3.999999999999999e-08,12.43449435824273,-27.732998847854407
4.499999999999999e-08,13.949555301961514,-31.124245935245654
4.999999999999999e-08,15.450849718747328,-34.47899671855337
5.499999999999999e-08,16.936896012264558,-37.792865331049306
6e-08,18.40622763423394,-41.063284625011406
6.5e-08,19.857394531739068,-44.28652594207993
7e-08,21.28896457825369,-47.45981688635259
7.500000000000001e-08,22.69952498697736,-50.57984601076792
8.000000000000001e-08,24.087683705085738,-53.643829790413044
8.500000000000002e-08,25.452070787518544,-56.64875975735234
9.000000000000003e-08,26.791339748949873,-59.591942446168055
9.500000000000003e-08,28.104168892606584,-62.470619025526865
1e-07,29.38926261462371,-65.28223969954405
1.05e-07,30.645352682648785,-68.02427079005552
1.1e-07,31.871199487434552,-70.69433465397596
1.150000000000001e-07,33.06559326618264,-73.29011130947916
1.2e-07,34.22735529643439,-75.80940983054462
1.25e-07,35.35533905932742,-78.25011770578006
1.300000000000001e-07,36.44843137107057,-80.61023705781022
1.350000000000001e-07,37.50555348152296,-82.88785807777904
1.400000000000001e-07,38.5256621387895,-85.08117701803003
1.450000000000001e-07,39.507750618784534,-87.18848172569193
1.500000000000001e-07,40.45084971874735,-89.20816008206207
1.550000000000001e-07,41.35402871372806,-91.13869157624704
1.600000000000001e-07,42.21639627510076,-92.97865067518202
1.650000000000001e-07,43.037101350197226,-94.72670138951483
1.700000000000001e-07,43.815334002193175,-96.38159793020223
1.750000000000001e-07,44.55032620941846,-97.94218075750516
1.800000000000001e-07,45.241352623300976,-99.40737579461295
1.850000000000001e-07,45.8877312841991,-100.77619123940823
1.900000000000001e-07,46.48882429441259,-102.04771604871182
1.950000000000001e-07,47.04403844771132,-103.22111719622058
2.000000000000001e-07,47.552825814757725,-104.29563785179464
2.050000000000001e-07,48.014684283847146,-105.27059497353386
2.100000000000001e-07,48.429158056431554,-106.14537745244357
2.150000000000001e-07,48.79583809693733,-106.91944402683234
2.200000000000001e-07,49.11436253643442,-107.59232157600113
2.250000000000001e-07,49.38441702975693,-108.16360338946407
2.300000000000002e-07,49.605735065723856,-108.63294774012155
2.350000000000002e-07,49.778098230154,-109.00007655464921
2.400000000000001e-07,49.90133642141359,-109.26477435921316
2.450000000000001e-07,49.97532801828663,-109.42688739428303
2.500000000000001e-07,50.00000000000004,-109.48632299566802
2.550000000000002e-07,49.97532801828663,-109.44304918494485
2.600000000000002e-07,49.90133642141359,-109.29709452102676
2.650000000000002e-07,49.778098230154,-109.04854817997567
2.700000000000002e-07,49.605735065723856,-108.69756028712874
2.750000000000002e-07,49.38441702975682,-108.24434247912123
2.800000000000002e-07,49.11436253643442,-107.68916870278056
2.850000000000002e-07,48.79583809693733,-107.03237623103773
2.900000000000002e-07,48.429158056431554,-106.27436689165987
2.950000000000002e-07,48.014684283847146,-105.41560848812637
3.000000000000002e-07,47.55282581475762,-104.45663640051606
3.050000000000002e-07,47.04403844771121,-103.39805534302843
3.100000000000002e-07,46.48882429441259,-102.24054126087894
3.150000000000002e-07,45.887731284198985,-100.98484333982222
3.200000000000002e-07,45.241352623300976,-99.63178610719913
3.250000000000002e-07,44.550326209418344,-98.18227159553867
3.300000000000002e-07,43.815334002193175,-96.63728154447277
3.350000000000002e-07,43.03710135019712,-94.99787961047545
3.400000000000002e-07,42.21639627510076,-93.26521355908073
3.450000000000002e-07,41.35402871372806,-91.44051740759684
3.500000000000002e-07,40.45084971874735,-89.52511349344915
3.550000000000003e-07,39.50775061878442,-87.52041443614905
3.600000000000003e-07,38.525662138789386,-85.42792496871876
3.650000000000003e-07,37.50555348152296,-83.24924360837083
3.700000000000003e-07,36.44843137107057,-80.98606414401117
3.750000000000003e-07,35.35533905932731,-78.64017691234775
3.800000000000003e-07,34.22735529643439,-76.21346984376204
3.850000000000003e-07,33.065593266182525,-73.70792925240366
3.900000000000003e-07,31.871199487434442,-71.12564035519902
3.950000000000003e-07,30.645352682648785,-68.46878749880375
4.000000000000003e-07,29.3892626146236,-65.73965408261273
4.050000000000003e-07,28.104168892606474,-62.94062216183666
4.100000000000003e-07,26.79133974894976,-60.074171723307366
4.150000000000003e-07,25.452070787518434,-57.142879622399555
4.200000000000003e-07,24.087683705085627,-54.14941817922703
4.250000000000003e-07,22.69952498697725,-51.09655342665764
4.300000000000003e-07,21.288964578253577,-47.98714301407869
4.350000000000003e-07,19.857394531738958,-44.824133763224914
4.400000000000003e-07,18.40622763423383,-41.610558886012285
4.450000000000003e-07,16.936896012264448,-38.34953486437542
4.500000000000004e-07,15.450849718747218,-35.0442580071264
4.550000000000004e-07,13.949555301961404,-31.698000688013316
4.600000000000004e-07,12.43449435824262,-28.31410728471284
4.650000000000004e-07,10.907162069827002,-24.89598982546348
4.700000000000004e-07,9.369065729286085,-21.447123369116916
4.750000000000004e-07,7.82172325201147,-17.97104112649295
4.800000000000004e-07,6.266661678215102,-14.471329353540675
4.850000000000003e-07,4.7054156659256385,-10.951622026451059
4.900000000000003e-07,3.139525976465607,-7.415595332277203
4.950000000000002e-07,1.5705379539063813,-3.8669619867331972
5.000000000000002e-07,-1.1102230246251565e-13,-0.30946541593768195
5.050000000000001e-07,-1.5705379539064923,3.253126186145594
5.100000000000001e-07,-3.139525976465718,6.8170258846278475
5.15e-07,-4.70541566592575,10.378434104466482
5.2e-07,-6.266661678215213,13.933544762835147
5.25e-07,-7.82172325201147,17.478551422859702
5.299999999999999e-07,-9.369065729286197,21.009653427520814
5.349999999999999e-07,-10.907162069827114,24.523062002442032
5.399999999999998e-07,-12.43449435824273,28.015006289152765
5.449999999999998e-07,-13.949555301961404,31.48173929702658
5.499999999999997e-07,-15.450849718747328,34.919543738285874
5.549999999999997e-07,-16.936896012264448,38.32473773592226
5.599999999999996e-07,-18.40622763423372,41.69368037137377
5.649999999999996e-07,-19.857394531738958,45.022777064236074
5.699999999999995e-07,-21.288964578253466,48.308484753407434
5.749999999999995e-07,-22.69952498697725,51.5473168763173
5.799999999999994e-07,-24.087683705085627,54.73584811744292
5.849999999999994e-07,-25.452070787518434,57.87071892782958
5.899999999999993e-07,-26.79133974894965,60.94863978980569
5.949999999999993e-07,-28.104168892606364,63.96639523271941
5.999999999999992e-07,-29.38926261462349,66.92084757792539
6.049999999999992e-07,-30.645352682648674,69.8089404233333
6.099999999999991e-07,-31.87119948743422,72.62770184909951
6.149999999999991e-07,-33.06559326618241,75.37424735962183
6.19999999999999e-07,-34.22735529643417,78.04578254720195
6.24999999999999e-07,-35.35533905932719,80.63960549633175
6.299999999999989e-07,-36.44843137107034,83.15310891848814
6.349999999999989e-07,-37.50555348152274,85.58378203904782
6.399999999999988e-07,-38.52566213878927,87.92921223076266
6.449999999999988e-07,-39.50775061878431,90.18708641760509
6.499999999999988e-07,-40.45084971874713,92.35519224786093
6.549999999999987e-07,-41.35402871372784,94.43141906121588
6.599999999999987e-07,-42.21639627510054,96.41375865270219
6.649999999999986e-07,-43.037101350197005,98.30030585941473
6.699999999999986e-07,-43.815334002192955,100.08925897485277
6.749999999999985e-07,-44.550326209418124,101.7789200183682
6.799999999999985e-07,-45.241352623300756,103.3676948653649
6.849999999999984e-07,-45.88773128419887,104.85409326668727
6.899999999999984e-07,-46.48882429441237,106.23672876258117
6.949999999999983e-07,-47.0440384477111,107.5143185201921
6.999999999999983e-07,-47.552825814757504,108.68568309974758
7.049999999999982e-07,-48.01468428384703,109.74974617633382
7.099999999999982e-07,-48.42915805643144,110.70553422331886
7.149999999999981e-07,-48.79583809693722,111.55217618070313
7.199999999999981e-07,-49.11436253643431,112.2889031150338
7.24999999999998e-07,-49.38441702975682,112.91504789001938
7.29999999999998e-07,-49.605735065723856,113.43004485358898
7.349999999999979e-07,-49.77809823015389,113.83342955777664
7.399999999999979e-07,-49.90133642141359,114.12483851447041
7.449999999999978e-07,-49.975328018286525,114.3040089996168
7.499999999999978e-07,-50.00000000000004,114.37077890810188
7.549999999999977e-07,-49.97532801828663,114.32508666557095
7.599999999999977e-07,-49.90133642141359,114.16697119985564
7.649999999999977e-07,-49.778098230154114,113.89657197135605
7.699999999999976e-07,-49.60573506572396,113.51412906422264
7.749999999999976e-07,-49.384417029757046,113.01998333357454
7.799999999999975e-07,-49.11436253643453,112.41457660638854
7.849999999999975e-07,-48.79583809693755,111.69845192965677
7.899999999999974e-07,-48.429158056431774,110.87225385900268
7.949999999999974e-07,-48.014684283847366,109.93672877831806
7.999999999999973e-07,-47.55282581475795,108.89272524219018
8.049999999999973e-07,-47.04403844771154,107.74119432637586
8.099999999999972e-07,-46.48882429441292,106.48318997816885
8.149999999999972e-07,-45.88773128419943,105.11986934772688
8.199999999999971e-07,-45.24135262330131,103.65249309119395
8.249999999999971e-07,-44.55032620941879,102.08242562444048
8.29999999999997e-07,-43.815334002193616,100.41113531699142
8.34999999999997e-07,-43.03710135019767,98.64019460334006
8.399999999999969e-07,-42.21639627510132,96.77128000133739
8.449999999999969e-07,-41.35402871372862,94.8061720132275
8.499999999999968e-07,-40.450849718747904,92.7467548995683
8.549999999999968e-07,-39.507750618785195,90.59501630183576
8.599999999999967e-07,-38.52566213879016,88.35304670418765
8.649999999999967e-07,-37.50555348152362,86.02303871136886
8.699999999999966e-07,-36.448431371071344,83.607286134595
8.749999999999966e-07,-35.355339059328195,81.10818286380528
8.799999999999966e-07,-34.22735529643517,78.52822152074556
8.849999999999965e-07,-33.06559326618341,75.86999187239907
8.899999999999965e-07,-31.87119948743533,73.13617900378388
8.949999999999964e-07,-30.645352682649786,70.32956123052526
8.999999999999964e-07,-29.3892626146246,67.45300775494223
9.049999999999963e-07,-28.104168892607472,64.50947604884361
9.099999999999963e-07,-26.791339748950872,61.5020089707854
9.149999999999962e-07,-25.452070787519542,58.43373160400689
9.199999999999962e-07,-24.08768370508685,55.30784782829501
9.249999999999961e-07,-22.69952498697847,52.12763661447195
9.299999999999961e-07,-21.2889645782548,48.89644805979654
9.34999999999996e-07,-19.85739453174018,45.61769915684022
9.39999999999996e-07,-18.40622763423505,42.294869318658776
9.449999999999959e-07,-16.936896012265777,38.93149565620146
9.499999999999959e-07,-15.45084971874866,35.53116803515011
9.54999999999996e-07,-13.949555301962624,32.09752391266518
9.599999999999959e-07,-12.434494358244063,28.634242983158753
9.649999999999958e-07,-10.907162069828447,25.145041638917952
9.699999999999958e-07,-9.369065729287529,21.633667276991563
9.749999999999957e-07,-7.821723252012913,18.10389246152033
9.799999999999957e-07,-6.266661678216545,14.559508974890335
9.849999999999957e-07,-4.705415665927082,11.004321770564207
9.899999999999956e-07,-3.1395259764670502,7.442142861779577
9.949999999999956e-07,-1.5705379539078246,3.876785161409324
9.999999999999955e-07,-1.4432899320127035e-12,0.31205630862018996
1.004999999999995e-06,1.570537953904938,-3.248247502161572
1.009999999999995e-06,3.1395259764641636,-6.800347652485272
1.014999999999995e-06,4.705415665924306,-10.340489176625445
1.019999999999995e-06,6.26666167821377,-13.864946745997365
1.024999999999995e-06,7.821723252010027,-17.370030546937976
1.029999999999995e-06,9.369065729284753,-20.85209201498406
1.034999999999995e-06,10.90716206982567,-24.307529412710196
1.039999999999995e-06,12.434494358241288,-27.73279321556943
1.044999999999995e-06,13.94955530195996,-31.124391294724994
1.049999999999995e-06,15.450849718745886,-34.47889386384806
1.054999999999995e-06,16.936896012263112,-37.79293818097684
1.059999999999995e-06,18.406227634232387,-41.06323297584913
1.064999999999995e-06,19.857394531737516,-44.28656259620689
1.069999999999995e-06,21.288964578252134,-47.4597908481369
1.074999999999995e-06,22.699524986975916,-50.57986452581714
1.079999999999995e-06,24.087683705084295,-53.64381661198275
1.084999999999995e-06,25.4520707875171,-56.64876914649447
1.089999999999995e-06,26.791339748948428,-59.591935750236246
1.094999999999995e-06,28.10416889260514,-62.470623805363836
1.099999999999995e-06,29.389262614622268,-65.28223628421243
1.104999999999995e-06,30.645352682647452,-68.02427323269272
1.109999999999994e-06,31.87119948743311,-70.69433290533922
1.114999999999994e-06,33.0655932661813,-73.29011256244422
1.119999999999994e-06,34.227355296433174,-75.80940893192256
1.124999999999994e-06,35.355339059326084,-78.25011835084223
1.129999999999994e-06,36.44843137106935,-80.61023659433437
1.134999999999994e-06,37.50555348152174,-82.88785841106034
1.139999999999994e-06,38.52566213878828,-85.08117677815302
1.144999999999994e-06,39.50775061878342,-87.18848189847755
1.149999999999994e-06,40.450849718746355,-89.20815995751202
1.154999999999994e-06,41.35402871372706,-91.13869166610684
1.159999999999994e-06,42.21639627509977,-92.97865061029387
1.164999999999994e-06,43.037101350196224,-94.72670143639867
1.169999999999994e-06,43.81533400219229,-96.38159789629613
1.174999999999994e-06,44.550326209417456,-97.94218078204526
1.179999999999994e-06,45.24135262330009,-99.40737577683755
1.184999999999994e-06,45.88773128419832,-100.77619125228593
1.189999999999994e-06,46.48882429441181,-102.04771603937735
1.194999999999994e-06,47.044038447710655,-103.22111720299377
1.199999999999994e-06,47.55282581475706,-104.29563784686846
1.204999999999994e-06,48.014684283846584,-105.27059497709945
1.209999999999993e-06,48.429158056431106,-106.14537744986436
1.214999999999993e-06,48.79583809693688,-106.91944402871223
1.219999999999993e-06,49.114362536434086,-107.59232157463983
1.224999999999993e-06,49.3844170297566,-108.16360339045117
1.229999999999993e-06,49.605735065723636,-108.63294773939963
1.234999999999993e-06,49.77809823015378,-109.00007655519146
1.239999999999993e-06,49.901336421413475,-109.26477435882192
1.244999999999993e-06,49.975328018286525,-109.42688739457085
1.249999999999993e-06,50.00000000000004,-109.48632299546924
1.254999999999993e-06,49.97532801828663,-109.44304918508246
1.259999999999993e-06,49.9013364214137,-109.29709452092857
1.264999999999993e-06,49.77809823015422,-109.04854818005033
1.269999999999993e-06,49.60573506572419,-108.69756028706756
1.274999999999993e-06,49.384417029757266,-108.24434247916476
1.279999999999993e-06,49.11436253643486,-107.68916870275585
1.284999999999993e-06,48.795838096937885,-107.03237623105832
1.289999999999993e-06,48.42915805643211,-106.27436689164044
1.294999999999993e-06,48.01468428384781,-105.41560848815806
1.299999999999993e-06,47.55282581475839,-104.45663640049385
1.304999999999993e-06,47.0440384477121,-103.39805534304686
1.309999999999993e-06,46.488824294413476,-102.24054126087223
1.314999999999992e-06,45.88773128419999,-100.98484333981833
1.319999999999992e-06,45.24135262330198,-99.63178610721197
1.324999999999992e-06,44.55032620941945,-98.18227159554682
1.329999999999992e-06,43.8153340021944,-96.63728154446916
1.334999999999992e-06,43.03710135019845,-94.99787961047146
1.339999999999992e-06,42.2163962751021,-93.26521355908046
1.344999999999992e-06,41.354028713729505,-91.44051740758024
1.349999999999992e-06,40.45084971874879,-89.52511349346032
1.354999999999992e-06,39.50775061878598,-87.52041443615155
1.359999999999992e-06,38.52566213879105,-85.42792496872536
1.364999999999992e-06,37.50555348152462,-83.24924360838904
