nominal_input_amplitude_mv,gain_v_per_v,gain_db,compression_db,vout_thd_percent,vout_min_v,vout_max_v,region_0_percent,region_1_percent,region_2_percent,region_3_percent,high_rail_dwell_percent,low_rail_dwell_percent,minimum_sat_margin_v
10.0,2.2667265723150214,7.107982715749634,0.0,0.2133432583432775,0.5274334190590491,0.5727620045107437,0.0,0.0,99.99999999999999,0.0,0.0,0.0,0.3479996787827167
50.0,2.245849522894769,7.027613083337343,-0.08036963241229067,1.1340419457167277,0.4405136770045314,0.6643707789080511,0.0,0.0,99.99999999999999,0.0,0.0,0.0,0.2430555775549786
100.0,2.179833908148486,6.768468078306772,-0.3395146374428615,2.691402550125978,0.3451168484162665,0.7751922763458448,0.0,0.0,99.99999999999999,0.0,0.0,0.0,0.1251657349999384
180.0,1.9893351412497529,5.974159088676827,-1.1338236270728066,6.6308069352760795,0.24193466180862666,0.92660765092264,0.0,12.016006499377598,87.9839935006224,0.0,0.0,0.0,-0.0137525755934165
200.0,1.9313185610688839,5.717078286605335,-1.3909044291442987,7.760735669155706,0.22550190428082462,0.9572816590371008,0.0,18.523408758037235,81.47659124196277,0.0,0.0,0.0,-0.039046058374290676
220.0,1.8717866778088006,5.445127038367282,-1.6628556773823515,8.874466937291121,0.2117380806860002,0.9846875539830907,0.0,22.52714358750131,69.4632053591649,8.00965105333379,0.0,0.0,-0.06163210273214498
250.0,1.781719811916912,5.01678818362738,-2.0911945321222536,10.476978044273269,0.19492534912472448,1.019560800136609,0.0,26.509670248835995,55.983943737781765,17.506386013382247,0.0,0.0,-0.09160264162678008
300.0,1.6343715936373113,4.267016107806278,-2.840966607943356,12.953816249524019,0.17399880725688577,1.061225833102594,0.0,31.501484573263095,43.997360758643424,24.501154668093477,0.0,0.0,-0.1342415259478578
350.0,1.4948221666116472,3.4917905869470047,-3.616192128802629,15.276231491803403,0.15876850514325647,1.084543790554815,0.0,34.05009339278092,36.406443222306194,29.54346338491289,0.0,0.0,-0.17091313539891692
380.0,1.4162912101715723,3.023051196560269,-4.0849315191893645,16.629959297586463,0.1514534119846579,1.091869844420579,0.0,35.548014084314666,33.41005812374857,31.041927791936775,7.0094675659211925,0.0,-0.19097146708922613
