VIN_BIAS,I0.NM0:region,I0.NM0:id,I0.NM0:vgs,I0.NM0:vds,I0.NM0:vth,I0.NM0:vdsat,I0.NM0:gm,I0.NM0:gds,I0.NM0:gmoverid,I0.NM0:self_gain,I0.NM0:rout,I0.NM0:sat_margin_abs
0.0,0.0,1.85404708397579e-10,0.0,1.099998953079603,0.4989985023615605,0.04216619418688419,4.923291587190262e-09,1.172250968842287e-10,28.32183915476446,41.99861393207032,8530596489.825025,1.0578327588927188
0.001,0.0,1.903933644670852e-10,0.001,1.099998921477171,0.4989985027447057,0.04216621035079765,5.064591152876475e-09,1.205910246493619e-10,28.32112060141834,41.9980771172863,8292491111.238694,1.0578327111263734
0.002,0.0,1.955253813332966e-10,0.002,1.099998892737877,0.4989985030942766,0.0421662269784031,5.209940364093757e-09,1.240534869203694e-10,28.32039161551589,41.9975326242788,8061039031.026234,1.0578326657594739
0.003,0.0,2.008048652731043e-10,0.003,1.099998863172767,0.4989985034538916,0.04216624408318564,5.359455019842694e-09,1.276152473066078e-10,28.31965203548161,41.99698024301198,7836054241.993551,1.0578326190895815
0.004,0.0,2.062360406054866e-10,0.004,1.099998832758186,0.4989985038238398,0.04216626167882023,5.51325423221171e-09,1.312791483574351e-10,28.31890169709974,41.99641985184665,7617355935.896913,1.0578325710793657
0.005,0.0,2.118232524532012e-10,0.005,1.0999988014698,0.4989985042044157,0.04216627977937134,5.671460507708022e-09,1.350481137653471e-10,28.31814043350533,41.9958513271979,7404768360.834352,1.0578325216904285
0.006,0.0,2.175709701849907e-10,0.006,1.099998769282581,0.4989985045959235,0.04216629839930607,5.834199843470185e-09,1.389251506720445e-10,28.31736807514246,41.99527454350413,7198120679.823219,1.057832470883275
0.007,0.0,2.234837909554247e-10,0.007,1.099998736170785,0.4989985049986774,0.04216631755350515,6.001601826186111e-09,1.429133520396287e-10,28.31658444971867,41.99468937319387,6997246833.330927,1.0578324186172798
0.008,0.0,2.29566443344991e-10,0.008,1.099998702107932,0.4989985054129983,0.04216633725727471,6.173799733789127e-09,1.470158990886657e-10,28.31578938216224,41.99409568665557,6801985405.652603,1.0578323648506573
0.009000000000000001,0.0,2.358237911033292e-10,0.009000000000000001,1.099998667066785,0.4989985058392197,0.04216635752635778,6.350930640009673e-09,1.512360638050277e-10,28.31498269457496,41.99349335220229,6612179495.025682,1.0578323095404272
