VIN_BIAS,I0.NM0:region,I0.NM0:id,I0.NM0:vgs,I0.NM0:vds,I0.NM0:vth,I0.NM0:vdsat,I0.NM0:gm,I0.NM0:gds,I0.NM0:gmoverid,I0.NM0:self_gain,I0.NM0:rout,I0.NM0:sat_margin_abs
0.0,0.0,1.854048450322818e-10,0.0,1.099999813348934,0.4989984922469844,0.04216619414216389,4.923294442098668e-09,1.172251058754598e-10,28.32183914750174,41.99863506482296,8530595835.523514,1.05783361920677
0.001,0.0,1.903935081083944e-10,0.001,1.099999807406492,0.4989984923285581,0.04216621030474912,5.064594177209921e-09,1.20591034172063e-10,28.32112059383127,41.99809888008425,8292490456.406312,1.057833597101743
0.002,0.0,1.95525531901748e-10,0.002,1.099999802274469,0.4989984924005703,0.04216622693113216,5.209943558063114e-09,1.24053496975738e-10,28.32039160761273,41.99755496680645,8061038377.624913,1.0578335753433368
0.003,0.0,2.008050231374064e-10,0.003,1.099999796994977,0.4989984924746526,0.04216624403465816,5.359458393135944e-09,1.276152579249561e-10,28.31965202724867,41.99700318192016,7836053589.98724,1.057833552960319
0.004,0.0,2.062362061548583e-10,0.004,1.099999791563794,0.4989984925508621,0.04216626162900006,5.513257795075522e-09,1.312791595708272e-10,28.31890168852261,41.99644340426352,7617355285.249861,1.0578335299347938
0.005,0.0,2.118234260984868e-10,0.005,1.099999785976574,0.4989984926292613,0.04216627972822164,5.671464270978731e-09,1.350481256076708e-10,28.31814042456939,41.99587551074156,7404767711.512758,1.0578335062483524
0.006,0.0,2.175711523599345e-10,0.006,1.099999780228848,0.4989984927099118,0.04216629834678888,5.834203818608947e-09,1.389251631791422e-10,28.31736806583185,41.99529937629671,7198120031.793758,1.057833481882059
0.007,0.0,2.234839821179532e-10,0.007,1.099999774316018,0.4989984927928788,0.04216631749958166,6.001606025314586e-09,1.429133652493974e-10,28.31658444001695,41.99471487387631,6997246186.561383,1.0578334568164363
0.008,0.0,2.295666439785836e-10,0.008,1.099999768233357,0.4989984928782286,0.0421663372019045,6.173804169727511e-09,1.470159130411721e-10,28.31578937205243,41.9941218744023,6801984760.111977,1.0578334310314526
0.009000000000000001,0.0,2.358240017184937e-10,0.009000000000000001,1.099999761975999,0.4989984929660292,0.04216635746950016,6.350935326317665e-09,1.512360785426454e-10,28.31498268403943,41.99352024673687,6612178850.683578,1.0578334045064988
0.01,0.0,2.422610581342556e-10,0.01,1.099999755538942,0.4989984930563506,0.04216637831856031,6.533140472881248e-09,1.555772270849396e-10,28.31416419520857,41.99290985765152,6427675944.205098,1.0578333772203816
0.011,0.0,2.488829590006646e-10,0.011,1.099999748917042,0.4989984931492658,0.04216639976574001,6.720564601045777e-09,1.600428199923016e-10,28.31333372187217,41.99229057179229,6248327791.575418,1.0578333491513021
0.012,0.0,2.556949971410924e-10,0.012,1.099999742105003,0.4989984932448485,0.04216642182817001,6.913356829874582e-09,1.646364173069469e-10,28.31249107737776,41.99166225164734,6073990289.375694,1.0578333202768329
